Name|money|debit|phone
Savannah|99.8632508372|7644|025-045-4373
Astra|100.230683779|4730|026-908-1208
Mira|99.5645373841|3787|054-842-1339
Eleanor|100.2858087079|1926|065-865-2328
Rachel|99.8140967061|8059|086-054-8107
Isabelle|100.4154053926|2592|060-440-8806
Ebony|100.2765711307|5777|041-837-6895
Ursa|100.2063950726|3508|019-267-7463
Whoopi|100.2708422959|880|033-876-0320
Clare|100.0846413067|7323|049-373-4178
Marah|99.7754286609|7995|059-198-9156
Lesley|100.2918170833|6239|066-720-3784
Ashely|99.9041158139|6893|087-212-1109
Azalia|99.7897253|1302|038-701-3954
Britanney|100.3444925417|6265|061-450-2987
Risa|99.966379478|6788|060-361-4161
Sloane|100.3058282537|7479|025-776-1906
Leah|99.684480693|5223|004-159-4958
May|99.8883489224|5822|024-984-9297
Ariel|100.1787304253|9457|010-156-6463
Jeanette|100.0521972673|9953|067-427-9102
Amethyst|100.1298697982|7364|094-352-1015
Kiona|100.3477424673|4238|047-945-6700
Pandora|99.6303271942|2264|031-617-6116
Leilani|100.3998864464|2244|062-781-6142
Nita|99.9982022898|3104|029-694-5992
Eugenia|99.9126960743|3526|049-870-7445
Evelyn|99.9292914151|4974|074-850-6953
Judith|100.2668311043|5927|086-915-9334
Helen|99.9363377499|9855|085-379-0175
Hilary|100.1964604839|8614|079-832-2785
Alice|100.1621006351|5999|018-870-4515
Deborah|99.824045737|9222|088-455-6335
Hope|99.8195038659|694|009-842-3242
Kiayada|100.0334591321|7065|064-355-7407
Hilda|99.7958570858|4568|050-740-6135
Kristen|100.0488228774|3738|092-106-0077
Rosalyn|99.7537015895|8281|013-046-6197
Jana|100.4958157431|3053|078-016-7316
Kimberly|99.785009258|5812|064-499-8381
Eliana|100.3050947948|3978|031-865-1211
Melanie|99.7969226955|8839|066-392-1504
Cleo|100.2270891516|9441|086-425-6451
Bianca|100.2759787003|9237|063-971-1631
Reagan|99.8936927126|6055|028-961-6048
Karyn|100.0686844172|5149|029-414-5217
Odessa|100.0107361416|6029|011-648-2447
Myra|100.2257334306|6629|082-665-4694
Emma|100.0008174616|8602|052-303-0188
Eleanor|99.6830070582|8813|036-856-1095
Aurora|99.8734505449|2441|047-787-4310
Vielka|100.162961737|4456|004-326-6310
Laurel|100.2089344652|6387|048-898-9513
Quincy|100.2273852497|2021|005-606-4928
Scarlett|99.83702942|3016|060-063-2597
Blair|100.3571402748|7422|000-295-2006
Sophia|100.1145984014|6518|062-897-2964
Dara|99.7639321229|2957|068-989-3154
Madonna|100.0017204069|8703|048-572-7823
Giselle|100.7105528834|6211|081-093-1930
Blossom|99.9866608796|2995|099-089-1656
Rachel|99.768198937|1480|093-350-4094
Hyacinth|100.2654356555|4369|020-222-9095
Nita|99.5489363473|6742|020-536-0456
Inez|99.7900786917|5227|092-065-5686
Halla|99.4929167754|7471|000-775-4740
Risa|99.9023327896|6677|095-613-1723
Rhona|100.119309357|606|080-794-5371
Megan|100.0293895282|510|031-083-5503
Yoko|99.9231646956|5314|069-444-8837
Mia|99.9465304184|6955|039-395-8923
Ori|100.2866244424|9606|032-509-9285
Kaden|100.0071683336|4922|063-756-9592
Margaret|100.2056006693|4741|011-500-5751
Quyn|100.6353953468|9968|041-224-4788
Leah|100.0562364366|6485|044-174-8105
Azalia|100.1633782286|6683|035-338-4146
Guinevere|99.9863487914|5839|043-884-3785
Charissa|100.2160161359|9693|080-744-4691
Fleur|100.4253489763|3208|053-325-8233
Hayfa|100.1594406973|421|037-842-5563
Deborah|100.1173608527|2631|060-855-3021
Brenna|99.967399768|7260|043-946-3176
Emma|100.1043005394|199|027-461-8343
Leila|100.1782003323|1168|007-488-7071
Gwendolyn|99.7795273581|1276|077-803-3008
Ignacia|99.8965912807|8880|024-896-4659
Joelle|99.8051682488|5628|007-272-2440
Stacey|99.894764591|5405|069-769-4292
Bryar|99.554327075|2000|012-275-2013
Cassandra|100.0030957071|6647|099-912-1404
Galena|99.6531556277|3026|070-522-8524
Skyler|99.6104353372|2783|040-685-9787
Jessamine|100.343276596|1319|083-154-1140
Illiana|100.0628073046|7023|060-743-1457
Ingrid|100.2697555358|2928|076-565-3047
Quinn|99.6612093565|1063|091-701-7110
Irma|100.1561893981|4113|026-832-3254
Cheryl|100.1034548021|1419|076-979-3159
Allegra|99.9455023704|8739|026-038-8713
